"id","title","description","location","phone","externalLink","email","category","picture","img","Image"
39,"Cafétéria collective Kali","La cafétéria collective est un lieu autogéré et mutualisé entre différents collectifs et associations; un espace d’engagement, d’échange et de convivialité.","Rue Saint Thomas 32 - 4000 Liège",,"https://cckali.be","info@cckali.be","Alimentation","logos/cafeteriacollectivekalilogo.gif","cafeteriacollectivekalilogo.gif",
33,"Cupper café ","Bouteille de Cava gratuite à ton anniversaire ","Rue Saint-Barthélemy 1 - 4000 Liège","+32 493 50 70 80","https://www.facebook.com/cuppercafe",,"Alimentation","logos/cupper-cafe.jpg","cupper-cafe.jpg",
24,"Delhaize","Promos en ligne ","Chaussée de Tongres 63 - 4000 Liège","+32 4 224 77 99 ","https://www.delhaize.be",,"Alimentation","logos/delhaize.png","delhaize.png",
30,"Donnerie Sofft","Vêtements, jouets pour enfants etc. ","Rue Féronstrée 23 - 4000 Liège","+32 4 250 96 96","www.sofft@cvfe.be",,"Alimentation","logos/sofftdonnerielogo.webp","sofftdonnerielogo.webp",
38,"Foodello","Foodello vend en ligne des produits alimentaires proches de leur date de péremption à prix réduits pour réduire le gaspillage alimentaire.","En ligne",,"https://www.foodello.be/",,"Alimentation","logos/foodello.png","foodello.png",
"Image","Frigo solidaire ","Dans le bas du Laveu près du magasin bio ""Le temps des Cerises""","Rue Louis Boumal 76 - 4000 Liège ","+32 800 90 045 ","https://www.facebook.com/FriskotLg",,"Alimentation","logos/friskot.jpg","friskot.jpg",
34,"Resto du cœur","Distributeur direct de repas chauds aux populations dans le besoin, via les dons alimentaires reçus des particuliers et des entreprises. Mais ils jouent aussi le rôle de Banque Alimentaire.","Rue Raymond Geenen 9 - 4020 Liège","+32 4 344 08 00","https://restosducoeur.be/fr/nos-services/l-aide-alimentair"," info@restoducoeurliege.be","Alimentation","logos/restaurantsducoeurlogo.png","restaurantsducoeurlogo.png",
28,"Shopmium","Rembourse une partie de vos courses, fiable et rapide par PayPal ou carte bancaire ","En ligne, sur votre store d’applications",,"https://www.shopmium.com/fr/ ",,"Alimentation","logos/shopmiumapp2logo.png","shopmiumapp2logo.png",
45,"Zeudi Gourmands","Chaque jeudi de septembre à juin à la Zone ","Rue Méan 27 - 4020 Liège","+32 4 341 07 27","https://www.lazone.be/zeudi-gourmand-mcie/","info@lazone.be","Alimentation","logos/la-zone.png","la-zone.png",
98,"Assurance pour votre animal chat et chien  ","Jusqu’à 90% des frais vétérinaires remboursés 
Remboursement annuel illimité possible 
Budget prévention de 75 euro inclus ","Gasthuisstraat 15/0.01 - 3500 Hasselt ","+32 11 98 66 61 ","https://figopet.be/fr  ","info@figopet.be ","Autres thématiques","logos/figopet.png","figopet.png",
96,"Cars-Wash de Robermont ","Car-Wash à petit prix ","Rue de herve 403  - 4030 Liège","+32 488 93 54 04","https://www.facebook.com/carwashde.robermont.5 ","_","Autres thématiques","logos/carwash-robermont.jpg","carwash-robermont.jpg",
102,"Fondation Prince-Laurent    ","Aides pour les animaux (nourriture, soins vétérinaires) ","Rue Saint-Laurent 79 - 4000 Liège   ","+32 4 338 39 38 ","https://www.sfprlaurent.be/fr/","-","Autres thématiques","logos/prince-laurent.jpg","prince-laurent.jpg",
